tripduration,starttime,stoptime,start_station_name,end_station_name,usertype,birth_year,gender
1509,2017-11-29T12:59:04,2017-11-29T13:24:13,Bergen St & Flatbush Ave,Gold St & Frankfort St,Subscriber,1989,female
1652,2018-05-15T08:14:19.759000,2018-05-15T08:41:52.459000,Bergen St & Flatbush Ave,Gold St & Frankfort St,Subscriber,1989,female
700,2017-11-04T18:12:17,2017-11-04T18:23:57,E 2 St & 2 Ave,Gold St & Frankfort St,Subscriber,1970,male
1686,2018-03-29T17:06:56.254000,2018-03-29T17:35:03.152000,E 2 St & 2 Ave,Gold St & Frankfort St,Subscriber,1967,male
1200,2018-05-02T12:41:44.688000,2018-05-02T13:01:45.455000,Liberty St & Broadway,Gold St & Frankfort St,Customer,1969,unknown
1182,2017-10-28T14:48:31,2017-10-28T15:08:14,Liberty St & Broadway,Gold St & Frankfort St,Customer,1974,male
428,2018-04-01T09:39:32.940000,2018-04-01T09:46:41.176000,West Thames St,Gold St & Frankfort St,Subscriber,1984,male
725,2017-09-02T19:56:58,2017-09-02T20:09:03,West Thames St,Gold St & Frankfort St,Subscriber,1981,male
489,2017-11-29T16:16:47,2017-11-29T16:24:56,Henry St & Grand St,Gold St & Frankfort St,Subscriber,1983,male
497,2017-12-06T10:40:35,2017-12-06T10:48:53,Lispenard St & Broadway,Gold St & Frankfort St,Subscriber,1980,male
1310,2018-05-31T10:00:14.489000,2018-05-31T10:22:04.571000,Kent Ave & S 11 St,Gold St & Frankfort St,Subscriber,1981,male
2666,2018-05-07T16:48:10.810000,2018-05-07T17:32:37.638000,South End Ave & Liberty St,Gold St & Frankfort St,Customer,1969,unknown
842,2018-03-31T18:24:14.967000,2018-03-31T18:38:17.246000,South End Ave & Liberty St,Gold St & Frankfort St,Customer,1991,male
929,2017-10-23T08:43:11,2017-10-23T08:58:41,Mott St & Prince St,Gold St & Frankfort St,Subscriber,1968,male
436,2018-04-10T20:02:53.930000,2018-04-10T20:10:10.224000,Duane St & Greenwich St,Gold St & Frankfort St,Subscriber,1956,male
308,2018-01-17T17:29:28.144000,2018-01-17T17:34:36.376000,Fulton St & Broadway,Gold St & Frankfort St,Subscriber,1980,male
1364,2017-09-25T17:22:39,2017-09-25T17:45:23,W 18 St & 6 Ave,Gold St & Frankfort St,Subscriber,1963,male
